产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
食用油脂及其制品-->食用植物油,孔府香油（正宗）,山东曲阜市孔府食品有限公司,山东市场监管局,合格,2015-02-11,,200mL/瓶,孔府,淄博银座商城有限责任公司和平店,张店区和平路27号,山东曲阜市孔府食品有限公司,曲阜市时庄马村工业区,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477921
食用油脂及其制品-->食用植物油,孔府香油,山东曲阜市孔府食品有限公司,山东市场监管局,合格,2015-02-11,,200mL/瓶,孔府,淄博银座商城有限责任公司和平店,张店区和平路27号,山东曲阜市孔府食品有限公司,曲阜市时庄马村工业区,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477922
食用油脂及其制品-->食用植物油,崔字牌小磨香油,瑞福油脂股份有限公司,山东市场监管局,合格,2015-02-11,,400mL/瓶,崔字,淄博柳泉艺术学校,淄博市张店区东三路36号,瑞福油脂股份有限公司,山东省潍坊市东风西街8999号,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477923
食用油脂及其制品-->食用植物油,纯香油,东营丰华香油有限公司,山东市场监管局,合格,2015-02-11,,448mL/瓶,恒馥,张店海盛市场红芳干调经营部,张店中心路海盛水产品市场E-24.25.26,东营丰华香油有限公司,东营市广饶县经济开发区,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477924
食用油脂及其制品-->食用植物油,芝麻香食用调和油,天津市东宇顺油业有限公司,山东市场监管局,合格,2015-02-11,,450毫升/瓶,富味郷,博山区东关菜市场,淄博市博山区东关菜市场,天津市东宇顺油业有限公司,天津市武清区大碱厂镇杨崔公路与武清城区外环交口,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477925
食用油脂及其制品-->食用植物油,花生调和油,淄博千祥食品有限公司,山东市场监管局,合格,2015-02-11,,1.8L/桶,绿赛尔,博山区东关菜市场,淄博市博山区东关菜市场,淄博千祥食品有限公司,淄博市张店区世纪路南首,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477926
食用油脂及其制品-->食用植物油,一级大豆油,龙口香驰粮油有限公司,山东市场监管局,合格,2015-02-11,,/,康厨盐,济阳县致远小学,济阳县安康街1号,龙口香驰粮油有限公司,山东省龙口市环海中路1899号,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477850
食用油脂及其制品-->食用植物油,山歌压榨一级花生油,山东山歌食品有限公司,山东市场监管局,合格,2015-02-11,,1升/桶,山歌,泰安银座商城有限公司花园分公司,泰安市东湖路228号,山东山歌食品有限公司,山东莱芜高新区鹏泉街道办事处郭家沟村,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477867
食用油脂及其制品-->食用植物油,鲁花压榨玉米油,生产者：山东鲁花浓香花生油有限公司；委托方：莱阳鲁花浓香花生油有限公司,山东市场监管局,合格,2015-02-11,,900毫升/桶,鲁花,泰安银座商城有限公司花园分公司,泰安市东湖路228号,生产者：山东鲁花浓香花生油有限公司；委托方：莱阳鲁花浓香花生油有限公司,山东省莱阳市龙门东路39号,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477868
食用油脂及其制品-->食用植物油,金龙鱼花生油,益海嘉里食品营销有限公司,山东市场监管局,合格,2015-02-11,,1.8升/桶,金龙鱼,东关花园农贸市场N12号,泰安市泰山县东湖路东关花园农贸市场,益海嘉里食品营销有限公司,上海市浦东新区光明路718号715室,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477869
食用油脂及其制品-->食用植物油,金花晟压榨一级花生油,泰安市大江食品有限公司,山东市场监管局,合格,2015-02-11,,1.8L/桶,金花晟,东关花园农贸市场N12号,泰安市泰山县东湖路东关花园农贸市场,泰安市大江食品有限公司,泰安市泰山区宁家结庄工业园05号,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477870
食用油脂及其制品-->食用植物油,金花晟花生多食用调和油,泰安市大江食品有限公司,山东市场监管局,合格,2015-02-11,,1.8L/桶,金花晟,东关花园农贸市场N12号,泰安市泰山县东湖路东关花园农贸市场,泰安市大江食品有限公司,泰安市泰山区宁家结庄工业园05号,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477871
食用油脂及其制品-->食用植物油,古法小榨花生油,嘉里粮油（青岛）有限公司,山东市场监管局,合格,2015-02-11,,900毫升/瓶,,青州市腾飞托管站,青州市驼山中路,嘉里粮油（青岛）有限公司,青岛经济技术开发区前湾港路99号,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477895
食用油脂及其制品-->食用植物油,一级大豆油,中粮黄海粮油工业（山东）有限公司,山东市场监管局,合格,2015-02-11,,5升/桶,五湖,青州市金冠教育托管站,青州市驼山中路,中粮黄海粮油工业（山东）有限公司,山东省日照市岚山区岚山头街道岚山港北,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477896
食用油脂及其制品-->食用植物油,小磨香油,瑞福油脂股份有限公司,山东市场监管局,合格,2015-02-11,,448mL/瓶,瑞福,山东潍坊百货集团股份有限公司青州佳乐家二店,青州尧王山路与玲珑山路交汇处西北角,瑞福油脂股份有限公司,山东省潍坊市东风西街8999号,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477897
食用油脂及其制品-->食用植物油,崔字牌黑芝麻油,瑞福油脂股份有限公司,山东市场监管局,合格,2015-02-11,,218mL/瓶,瑞福,山东潍坊百货集团股份有限公司青州佳乐家二店,青州尧王山路与玲珑山路交汇处西北角,瑞福油脂股份有限公司,山东省潍坊市东风西街8999号,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477898
